response,set,sheet
Accusing a powerful man of sexual assault.,Absurd Box Expansion,CAH Expansions
Acquiring a gun very easily.,Absurd Box Expansion,CAH Expansions
Acting white.,Absurd Box Expansion,CAH Expansions
All manners of honors.,Absurd Box Expansion,CAH Expansions
All my dead sisters.,Absurd Box Expansion,CAH Expansions
"All types of girls, even ugly ones.",Absurd Box Expansion,CAH Expansions
An 800-foot-long pool noodle.,Absurd Box Expansion,CAH Expansions
An ambitious woman who wears pants.,Absurd Box Expansion,CAH Expansions
An elite squad known as the Special Victims Unit.,Absurd Box Expansion,CAH Expansions
Anything Asian.,Absurd Box Expansion,CAH Expansions
As ass like a bag of pool balls.,Absurd Box Expansion,CAH Expansions
Assembling IKEA furniture.,Absurd Box Expansion,CAH Expansions
Beef.,Absurd Box Expansion,CAH Expansions
Being hunted by giant eagles.,Absurd Box Expansion,CAH Expansions
Being inside me.,Absurd Box Expansion,CAH Expansions
Being seen reading Infinite Jest.,Absurd Box Expansion,CAH Expansions
Being shitty to everyone and late for everything.,Absurd Box Expansion,CAH Expansions
Big beefy baseball boys.,Absurd Box Expansion,CAH Expansions
Big Italian women making the spicy sauce.,Absurd Box Expansion,CAH Expansions
"Bimpy, the small styrofoam ball we all jack off into.",Absurd Box Expansion,CAH Expansions
Bipolar Disorder.,Absurd Box Expansion,CAH Expansions
Blowing into the penis so that the balls inflate.,Absurd Box Expansion,CAH Expansions
Blue smoke coming out of my anus.,Absurd Box Expansion,CAH Expansions
Canada's worst mangoes.,Absurd Box Expansion,CAH Expansions
Carbs.,Absurd Box Expansion,CAH Expansions
Carlos Santana's horrible wailing guitar.,Absurd Box Expansion,CAH Expansions
"Certain things, but not others.",Absurd Box Expansion,CAH Expansions
Chinese people.,Absurd Box Expansion,CAH Expansions
Chowder.,Absurd Box Expansion,CAH Expansions
"Clearly asking for no cucumbers in my salad, and yet here we are.",Absurd Box Expansion,CAH Expansions
Clippy from Microsoft Office.,Absurd Box Expansion,CAH Expansions
Colluding with Russia.,Absurd Box Expansion,CAH Expansions
Corn.,Absurd Box Expansion,CAH Expansions
Country music legend Toby Keith.,Absurd Box Expansion,CAH Expansions
"Crunchy snacks for big, flappy mouth.",Absurd Box Expansion,CAH Expansions
Cultural appropriation.,Absurd Box Expansion,CAH Expansions
Curly fries so good you quit ISIS.,Absurd Box Expansion,CAH Expansions
Dating a Republican.,Absurd Box Expansion,CAH Expansions
Death.,Absurd Box Expansion,CAH Expansions
Déjà vu.,Absurd Box Expansion,CAH Expansions
Déjà vu.,Absurd Box Expansion,CAH Expansions
Denying climate change.,Absurd Box Expansion,CAH Expansions
Doing ho shit.,Absurd Box Expansion,CAH Expansions
"Doing it doggy, no kissing.",Absurd Box Expansion,CAH Expansions
Doing stuff bad.,Absurd Box Expansion,CAH Expansions
Drake.,Absurd Box Expansion,CAH Expansions
Driving to a Walmart parking lot and staring into the distance for eight hours.,Absurd Box Expansion,CAH Expansions
Eating pussy bad.,Absurd Box Expansion,CAH Expansions
Ejaculating a quart of hollandaise sauce.,Absurd Box Expansion,CAH Expansions
Elon Musk.,Absurd Box Expansion,CAH Expansions
Enticing a hummingbird to drink nectar out of my urethra.,Absurd Box Expansion,CAH Expansions
Fascism.,Absurd Box Expansion,CAH Expansions
Fat.,Absurd Box Expansion,CAH Expansions
Fingering each other's buttholes.,Absurd Box Expansion,CAH Expansions
Foul vegan shits.,Absurd Box Expansion,CAH Expansions
Free two-day shipping with Amazon Prime.,Absurd Box Expansion,CAH Expansions
Fresh Air with Terry Gross.,Absurd Box Expansion,CAH Expansions
Funneling money through a series of shell companies.,Absurd Box Expansion,CAH Expansions
Getting #MeToo'd.,Absurd Box Expansion,CAH Expansions
Getting banished to the Shadow Realm.,Absurd Box Expansion,CAH Expansions
Getting depressed and super fat.,Absurd Box Expansion,CAH Expansions
Getting fisted by a man with no fingers.,Absurd Box Expansion,CAH Expansions
Getting half-hard and trying to smoosh it in.,Absurd Box Expansion,CAH Expansions
Getting herpes from Bruce Willis.,Absurd Box Expansion,CAH Expansions
Getting Mommy another beer.,Absurd Box Expansion,CAH Expansions
"Getting tanned, jacked, and juicy.",Absurd Box Expansion,CAH Expansions
"Going ""oink oink"" like a nasty little pig boy.",Absurd Box Expansion,CAH Expansions
"Good, clean Christian comedy.",Absurd Box Expansion,CAH Expansions
Hard-hitting investigative journalism.,Absurd Box Expansion,CAH Expansions
Having a wonderful time at the zoo.,Absurd Box Expansion,CAH Expansions
"Having no legs, just toes.",Absurd Box Expansion,CAH Expansions
Having thirty sons named Chad.,Absurd Box Expansion,CAH Expansions
Having tuna sandwiches with my favorite honkies.,Absurd Box Expansion,CAH Expansions
Healthcare.gov.,Absurd Box Expansion,CAH Expansions
Hiding from border patrol.,Absurd Box Expansion,CAH Expansions
"Hiking up a hillside covered in bear semen yelling ""I'm the queen of the forest!""",Absurd Box Expansion,CAH Expansions
"Hoopnugget, the game where you throw a nugget into a hoop.",Absurd Box Expansion,CAH Expansions
How many bagels I can fit on my penis.,Absurd Box Expansion,CAH Expansions
How quiet the forest is.,Absurd Box Expansion,CAH Expansions
Huffing and puffing and blowing my stepdad.,Absurd Box Expansion,CAH Expansions
Hunting white men for sport.,Absurd Box Expansion,CAH Expansions
Hush money.,Absurd Box Expansion,CAH Expansions
Interrupting women.,Absurd Box Expansion,CAH Expansions
"Jeremy and his stupid, annoying, dumb, hard, beautiful body.",Absurd Box Expansion,CAH Expansions
Jörmungandr the World Serpent.,Absurd Box Expansion,CAH Expansions
"Joyless, wooden Soviet toys.",Absurd Box Expansion,CAH Expansions
Just a Luna bar for lunch.,Absurd Box Expansion,CAH Expansions
Kanye West but if he were an old Japanese farmer.,Absurd Box Expansion,CAH Expansions
Korean barbecue.,Absurd Box Expansion,CAH Expansions
Leading a country to war on false pretenses.,Absurd Box Expansion,CAH Expansions
Leading children around with a magical flute.,Absurd Box Expansion,CAH Expansions
Letting that pussy breathe.,Absurd Box Expansion,CAH Expansions
Letting this loser eat me out.,Absurd Box Expansion,CAH Expansions
Licking the toilet as Mistress commands.,Absurd Box Expansion,CAH Expansions
Life.,Absurd Box Expansion,CAH Expansions
"Little Debbie and her mom, Full-Size Deborah.",Absurd Box Expansion,CAH Expansions
Lotion.,Absurd Box Expansion,CAH Expansions
Loving America.,Absurd Box Expansion,CAH Expansions
Magic: The Gathering.,Absurd Box Expansion,CAH Expansions
Making direct eye contact with a horse's asshole.,Absurd Box Expansion,CAH Expansions
Mark Zuckerberg.,Absurd Box Expansion,CAH Expansions
Maybe getting a little involved in selling heroin sometimes.,Absurd Box Expansion,CAH Expansions
Melania Trump.,Absurd Box Expansion,CAH Expansions
Murdering our parents.,Absurd Box Expansion,CAH Expansions
My buddy Jeff.,Absurd Box Expansion,CAH Expansions
My daughter fucking my boyfriend.,Absurd Box Expansion,CAH Expansions
My math teacher's bulge.,Absurd Box Expansion,CAH Expansions
My real dad.,Absurd Box Expansion,CAH Expansions
My secret butt.,Absurd Box Expansion,CAH Expansions
My son's dipshit friends.,Absurd Box Expansion,CAH Expansions
My son's husband's huge cock.,Absurd Box Expansion,CAH Expansions
"My wife.
(in Borat voice)",Absurd Box Expansion,CAH Expansions
Naked Dad.,Absurd Box Expansion,CAH Expansions
Netflix.,Absurd Box Expansion,CAH Expansions
New DNA evidence exonerating OJ Simpson.,Absurd Box Expansion,CAH Expansions
Nipples the size of CDs.,Absurd Box Expansion,CAH Expansions
None of your damn business.,Absurd Box Expansion,CAH Expansions
"Nonsexual activiities, such as roller skating.",Absurd Box Expansion,CAH Expansions
Not being a part of my son's life.,Absurd Box Expansion,CAH Expansions
Oral.,Absurd Box Expansion,CAH Expansions
Outdated gender norms.,Absurd Box Expansion,CAH Expansions
Owing a lot of money to some very bad people.,Absurd Box Expansion,CAH Expansions
Panda Express.,Absurd Box Expansion,CAH Expansions
Panic and confusion.,Absurd Box Expansion,CAH Expansions
Pissin' me paants.,Absurd Box Expansion,CAH Expansions
Politics.,Absurd Box Expansion,CAH Expansions
Poppin' that pussy.,Absurd Box Expansion,CAH Expansions
Preparing my asshole for sex.,Absurd Box Expansion,CAH Expansions
Pretending golf is fun.,Absurd Box Expansion,CAH Expansions
Prison.,Absurd Box Expansion,CAH Expansions
"Pulling a sick, shit-covered raccoon out of the toilet and nursing it back to health.",Absurd Box Expansion,CAH Expansions
Pulling the butt cheeks apart so the fart comes out quieter.,Absurd Box Expansion,CAH Expansions
Pushing my boob up to lick the nipple.,Absurd Box Expansion,CAH Expansions
Putting dirty dishes in the sink and hoping someone else deals with them.,Absurd Box Expansion,CAH Expansions
"Quality, affordable menswear.",Absurd Box Expansion,CAH Expansions
Reparations for slavery.,Absurd Box Expansion,CAH Expansions
Representing the entire black community.,Absurd Box Expansion,CAH Expansions
Respecting woman.,Absurd Box Expansion,CAH Expansions
Rubbing my clit with a handgun.,Absurd Box Expansion,CAH Expansions
Sandwich.,Absurd Box Expansion,CAH Expansions
Schindler's List.,Absurd Box Expansion,CAH Expansions
Setting boundaries with co-workers.,Absurd Box Expansion,CAH Expansions
Sewing two hamsters together to make a Double Hamster Supreme.,Absurd Box Expansion,CAH Expansions
Shit.,Absurd Box Expansion,CAH Expansions
Shitting perfectly into a hot dog bun.,Absurd Box Expansion,CAH Expansions
Slaves.,Absurd Box Expansion,CAH Expansions
Slowly releasing a huge fart over the course of two minutes.,Absurd Box Expansion,CAH Expansions
"Sluts, whores, and bitches.",Absurd Box Expansion,CAH Expansions
"Small plates, or tapas if you will.",Absurd Box Expansion,CAH Expansions
Some cracker-ass motherfucker.,Absurd Box Expansion,CAH Expansions
Some light choking.,Absurd Box Expansion,CAH Expansions
Square dancing with other racists.,Absurd Box Expansion,CAH Expansions
Stapling a butterfly to a cow.,Absurd Box Expansion,CAH Expansions
Staying hydrated.,Absurd Box Expansion,CAH Expansions
Sticking my hard rat dick in my girlfiend's wet rat pussy.,Absurd Box Expansion,CAH Expansions
Substituting sweet potato fries for $2.,Absurd Box Expansion,CAH Expansions
Sucking the caviar straight out of a fish's pussy.,Absurd Box Expansion,CAH Expansions
Suddenly feeling really sad for 40 years.,Absurd Box Expansion,CAH Expansions
Swordplay.,Absurd Box Expansion,CAH Expansions
Taking a dump.,Absurd Box Expansion,CAH Expansions
Tar.,Absurd Box Expansion,CAH Expansions
The Asshole Destroyer 3000.,Absurd Box Expansion,CAH Expansions
The Audi Sign-and-Drive Sales Event.,Absurd Box Expansion,CAH Expansions
The awesome power of the Lord.,Absurd Box Expansion,CAH Expansions
The beautiful backpacks of JanSport.,Absurd Box Expansion,CAH Expansions
The boy who sucks the farts our of my sweatpants.,Absurd Box Expansion,CAH Expansions
The coming race war.,Absurd Box Expansion,CAH Expansions
The current political climate.,Absurd Box Expansion,CAH Expansions
The cutest fucking shoes I've ever seen.,Absurd Box Expansion,CAH Expansions
The end of all life on Earth.,Absurd Box Expansion,CAH Expansions
The express written consent of the National Basketball Association.,Absurd Box Expansion,CAH Expansions
The fact that time is moving backwards right now and nobody's noticing.,Absurd Box Expansion,CAH Expansions
The harsh reality that all horses are people in horse costumes.,Absurd Box Expansion,CAH Expansions
"The incredible Gary, he'll suck your nipples.",Absurd Box Expansion,CAH Expansions
The kind of porn with poop.,Absurd Box Expansion,CAH Expansions
The King of Jews.,Absurd Box Expansion,CAH Expansions
The little-known fact that Polish people don't dream.,Absurd Box Expansion,CAH Expansions
The man in the basement.,Absurd Box Expansion,CAH Expansions
The man who fucks me and my wife.,Absurd Box Expansion,CAH Expansions
The Moon.,Absurd Box Expansion,CAH Expansions
The NRA.,Absurd Box Expansion,CAH Expansions
The pelican that will one day eat Scarlett Johansson's baby.,Absurd Box Expansion,CAH Expansions
The persecution of Buddhists by the American-backed government of South Vietnam.,Absurd Box Expansion,CAH Expansions
The pleasure of watching my boys wolf down my pot roast and scamper into the woods.,Absurd Box Expansion,CAH Expansions
The rock after which Dwayne Johnson was named.,Absurd Box Expansion,CAH Expansions
The South rising again.,Absurd Box Expansion,CAH Expansions
"The wonderful giant spoon known as ""ladle.""",Absurd Box Expansion,CAH Expansions
"The world's largest baby, weighing over 700 pounds.",Absurd Box Expansion,CAH Expansions
The worm that ate my penis and is now my penis.,Absurd Box Expansion,CAH Expansions
These breasts of mine.,Absurd Box Expansion,CAH Expansions
This boring-ass white bitch from work.,Absurd Box Expansion,CAH Expansions
This kid I found.,Absurd Box Expansion,CAH Expansions
Thoughts and prayers.,Absurd Box Expansion,CAH Expansions
Three men and three hot dogs.,Absurd Box Expansion,CAH Expansions
Throwing a man by his big penis.,Absurd Box Expansion,CAH Expansions
Thrusting and grunting.,Absurd Box Expansion,CAH Expansions
"Thumb, the King of the Fingers.",Absurd Box Expansion,CAH Expansions
"Tiny, sour kisses from a lemon dwarf.",Absurd Box Expansion,CAH Expansions
Travolta.,Absurd Box Expansion,CAH Expansions
Trees with human skin.,Absurd Box Expansion,CAH Expansions
Turning poor people against each other so they don't pay attention to economic inequality.,Absurd Box Expansion,CAH Expansions
"Twirling a cane, popping it into my anus, and giving a tip of the top hat.",Absurd Box Expansion,CAH Expansions
Uncles.,Absurd Box Expansion,CAH Expansions
Uncut daddy dick.,Absurd Box Expansion,CAH Expansions
Violating the Geneva Convention.,Absurd Box Expansion,CAH Expansions
Voldemort.,Absurd Box Expansion,CAH Expansions
Voter suppression.,Absurd Box Expansion,CAH Expansions
What looked like a chemical weapons facility but turned out to be a children's hospital.,Absurd Box Expansion,CAH Expansions
Women in positions of power.,Absurd Box Expansion,CAH Expansions
Yo stanky ass.,Absurd Box Expansion,CAH Expansions
Yogurt that moans in pleasure as you eat it.,Absurd Box Expansion,CAH Expansions
Your little booty in them underpants.,Absurd Box Expansion,CAH Expansions
Your mouth.,Absurd Box Expansion,CAH Expansions
Yummy yummy yummy yummy rat pussy.,Absurd Box Expansion,CAH Expansions
A 55-gallon drum of lube.,CAH : Second Expansion,CAH Expansions
"A bigger, blacker dick.",CAH : Second Expansion,CAH Expansions
A Burmese tiger pit.,CAH : Second Expansion,CAH Expansions
A dollop of sour cream.,CAH : Second Expansion,CAH Expansions
A fortuitous turnip harvest.,CAH : Second Expansion,CAH Expansions
A magic hippie love cloud.,CAH : Second Expansion,CAH Expansions
A man in yoga pants with a ponytail and feather earrings.,CAH : Second Expansion,CAH Expansions
A piñata full of scorpions.,CAH : Second Expansion,CAH Expansions
A sad fat dragon with no friends.,CAH : Second Expansion,CAH Expansions
A slightly shittier parallel universe.,CAH : Second Expansion,CAH Expansions
"A sofa that says “I have style, but I like to be comfortable.”",CAH : Second Expansion,CAH Expansions
"A soulful rendition of ""Ol' Man River.""",CAH : Second Expansion,CAH Expansions
A squadron of moles wearing aviator goggles.,CAH : Second Expansion,CAH Expansions
"A sweaty, panting leather daddy.",CAH : Second Expansion,CAH Expansions
A sweet spaceship.,CAH : Second Expansion,CAH Expansions
All of this blood.,CAH : Second Expansion,CAH Expansions
An army of skeletons.,CAH : Second Expansion,CAH Expansions
An ether-soaked rag.,CAH : Second Expansion,CAH Expansions
An unhinged ferris wheel rolling toward the sea.,CAH : Second Expansion,CAH Expansions
Another shot of morphine.,CAH : Second Expansion,CAH Expansions
Basic human decency.,CAH : Second Expansion,CAH Expansions
Beefin' over turf.,CAH : Second Expansion,CAH Expansions
Being awesome at sex.,CAH : Second Expansion,CAH Expansions
Boris the Soviet Love Hammer.,CAH : Second Expansion,CAH Expansions
Bullshit.,CAH : Second Expansion,CAH Expansions
Catastrophic urethral trauma.,CAH : Second Expansion,CAH Expansions
Crabapples all over the fucking sidewalk.,CAH : Second Expansion,CAH Expansions
Crushing Mr. Peanut's brittle body.,CAH : Second Expansion,CAH Expansions
Daddy's belt.,CAH : Second Expansion,CAH Expansions
Death by Steven Seagal.,CAH : Second Expansion,CAH Expansions
Dennis the Menace.,CAH : Second Expansion,CAH Expansions
"Dining with cardboard cutouts of the cast of ""Friends.""",CAH : Second Expansion,CAH Expansions
Double penetration.,CAH : Second Expansion,CAH Expansions
Existing.,CAH : Second Expansion,CAH Expansions
Fetal alcohol syndrome.,CAH : Second Expansion,CAH Expansions
Finding Waldo.,CAH : Second Expansion,CAH Expansions
Fuck Mountain.,CAH : Second Expansion,CAH Expansions
Getting hilariously gang-banged by the Blue Man Group.,CAH : Second Expansion,CAH Expansions
Grandpa's ashes.,CAH : Second Expansion,CAH Expansions
"Graphic violence, adult language, and some sexual content.",CAH : Second Expansion,CAH Expansions
Hillary Clinton.,CAH : Second Expansion,CAH Expansions
Hillary Clinton's death stare.,CAH : Second Expansion,CAH Expansions
Intimacy problems.,CAH : Second Expansion,CAH Expansions
Jeff Goldblum.,CAH : Second Expansion,CAH Expansions
Living in a trashcan.,CAH : Second Expansion,CAH Expansions
"Loki, the trickster god.",CAH : Second Expansion,CAH Expansions
Making a friend.,CAH : Second Expansion,CAH Expansions
Maximal insertion.,CAH : Second Expansion,CAH Expansions
Me.,CAH : Second Expansion,CAH Expansions
Mild autism.,CAH : Second Expansion,CAH Expansions
Mooing.,CAH : Second Expansion,CAH Expansions
My first kill.,CAH : Second Expansion,CAH Expansions
Nunchuck moves.,CAH : Second Expansion,CAH Expansions
Oncoming traffic.,CAH : Second Expansion,CAH Expansions
One Ring to rule them all.,CAH : Second Expansion,CAH Expansions
Power.,CAH : Second Expansion,CAH Expansions
Pretty Pretty Princess Dress-Up Board Game®.,CAH : Second Expansion,CAH Expansions
Pumping out a baby every nine months.,CAH : Second Expansion,CAH Expansions
Rising from the grave.,CAH : Second Expansion,CAH Expansions
Scrotal frostbite.,CAH : Second Expansion,CAH Expansions
Some really fucked-up shit.,CAH : Second Expansion,CAH Expansions
"Special musical guest, Cher.",CAH : Second Expansion,CAH Expansions
Spring break!,CAH : Second Expansion,CAH Expansions
Subduing a grizzly bear and making her your wife.,CAH : Second Expansion,CAH Expansions
Survivor's guilt.,CAH : Second Expansion,CAH Expansions
Swiftly achieving orgasm.,CAH : Second Expansion,CAH Expansions
Taking a man's eyes and balls out and putting his eyes where his balls go and then his balls in the eye holes.,CAH : Second Expansion,CAH Expansions
The black Power Ranger.,CAH : Second Expansion,CAH Expansions
The corporations.,CAH : Second Expansion,CAH Expansions
The day the birds attacked.,CAH : Second Expansion,CAH Expansions
The Google.,CAH : Second Expansion,CAH Expansions
The grey nutrient broth that sustains Mitt Romney.,CAH : Second Expansion,CAH Expansions
The hose.,CAH : Second Expansion,CAH Expansions
The human body.,CAH : Second Expansion,CAH Expansions
The mere concept of Applebee's®.,CAH : Second Expansion,CAH Expansions
The mixing of the races.,CAH : Second Expansion,CAH Expansions
The new Radiohead album.,CAH : Second Expansion,CAH Expansions
Tiny nipples.,CAH : Second Expansion,CAH Expansions
Tongue.,CAH : Second Expansion,CAH Expansions
Upgrading homeless people to mobile hotspots.,CAH : Second Expansion,CAH Expansions
Weapons-grade plutonium.,CAH : Second Expansion,CAH Expansions
Wearing an octopus for a hat.,CAH : Second Expansion,CAH Expansions
Whining like a little bitch.,CAH : Second Expansion,CAH Expansions
Whipping a disobedient slave.,CAH : Second Expansion,CAH Expansions
"A black male in his early 20s, last seen wearing a hoodie.",CAH : Third Expansion,CAH Expansions
A boo-boo.,CAH : Third Expansion,CAH Expansions
A botched circumcision.,CAH : Third Expansion,CAH Expansions
A cat video so cute that your eyes roll back and your spine slides out of your anus.,CAH : Third Expansion,CAH Expansions
A cop who is also a dog.,CAH : Third Expansion,CAH Expansions
A greased-up Matthew McConaughey.,CAH : Third Expansion,CAH Expansions
A Japanese toaster you can fuck.,CAH : Third Expansion,CAH Expansions
A lamprey swimming up the toilet and latching onto your taint.,CAH : Third Expansion,CAH Expansions
A pile of squirming bodies.,CAH : Third Expansion,CAH Expansions
A PowerPoint presentation.,CAH : Third Expansion,CAH Expansions
A spontaneous conga line.,CAH : Third Expansion,CAH Expansions
A surprising amount of hair.,CAH : Third Expansion,CAH Expansions
A vagina that leads to another dimension.,CAH : Third Expansion,CAH Expansions
"Actually getting shot, for real.",CAH : Third Expansion,CAH Expansions
All my friends dying.,CAH : Third Expansion,CAH Expansions
An all-midget production of Shakespeare’s Richard III.,CAH : Third Expansion,CAH Expansions
An ass disaster.,CAH : Third Expansion,CAH Expansions
An unstoppable wave of fire ants.,CAH : Third Expansion,CAH Expansions
"Bill Clinton, naked on a bearskin rug with a saxophone.",CAH : Third Expansion,CAH Expansions
Blood farts.,CAH : Third Expansion,CAH Expansions
Blowing some dudes in an alley.,CAH : Third Expansion,CAH Expansions
Buying the right pants to be cool.,CAH : Third Expansion,CAH Expansions
Chugging a lava lamp.,CAH : Third Expansion,CAH Expansions
Cock.,CAH : Third Expansion,CAH Expansions
Crying into the pages of Sylvia Plath.,CAH : Third Expansion,CAH Expansions
Demonic possession.,CAH : Third Expansion,CAH Expansions
Disco fever.,CAH : Third Expansion,CAH Expansions
Drinking ten 5-hour ENERGYs® to get fifty continuous hours of energy.,CAH : Third Expansion,CAH Expansions
Dying alone and in pain.,CAH : Third Expansion,CAH Expansions
Eating Tom Selleck’s mustache to gain his powers.,CAH : Third Expansion,CAH Expansions
Filling every orifice with butterscotch pudding.,CAH : Third Expansion,CAH Expansions
Fisting.,CAH : Third Expansion,CAH Expansions
Flying robots that kill people.,CAH : Third Expansion,CAH Expansions
Gay aliens.,CAH : Third Expansion,CAH Expansions
Getting your dick stuck in a Chinese finger trap with another dick.,CAH : Third Expansion,CAH Expansions
Girls that always be textin’.,CAH : Third Expansion,CAH Expansions
Going around punching people.,CAH : Third Expansion,CAH Expansions
Having sex on top of a pizza.,CAH : Third Expansion,CAH Expansions
Having shotguns for legs.,CAH : Third Expansion,CAH Expansions
Indescribable loneliness.,CAH : Third Expansion,CAH Expansions
Jumping out at people.,CAH : Third Expansion,CAH Expansions
Letting everyone down.,CAH : Third Expansion,CAH Expansions
Mufasa’s death scene.,CAH : Third Expansion,CAH Expansions
"My manservant, Claude.",CAH : Third Expansion,CAH Expansions
Not contributing to society in any meaningful way.,CAH : Third Expansion,CAH Expansions
Not having sex.,CAH : Third Expansion,CAH Expansions
Nothing.,CAH : Third Expansion,CAH Expansions
Putting an entire peanut butter and jelly sandwich into the VCR.,CAH : Third Expansion,CAH Expansions
Racial profiling.,CAH : Third Expansion,CAH Expansions
Reverse cowgirl.,CAH : Third Expansion,CAH Expansions
"Roland the Farter, flatulist to the king.",CAH : Third Expansion,CAH Expansions
"Running naked through a mall, pissing and shitting everywhere.",CAH : Third Expansion,CAH Expansions
Samuel L. Jackson.,CAH : Third Expansion,CAH Expansions
Screaming like a maniac.,CAH : Third Expansion,CAH Expansions
Self-flagellation.,CAH : Third Expansion,CAH Expansions
Shutting the fuck up.,CAH : Third Expansion,CAH Expansions
Slapping a racist old lady.,CAH : Third Expansion,CAH Expansions
"Sneezing, farting, and cumming at the same time.",CAH : Third Expansion,CAH Expansions
Some douche with an acoustic guitar.,CAH : Third Expansion,CAH Expansions
Some kind of bird-man.,CAH : Third Expansion,CAH Expansions
Spending lots of money.,CAH : Third Expansion,CAH Expansions
That ass.,CAH : Third Expansion,CAH Expansions
The entire Internet.,CAH : Third Expansion,CAH Expansions
The Harlem Globetrotters.,CAH : Third Expansion,CAH Expansions
The Land of Chocolate.,CAH : Third Expansion,CAH Expansions
"The moist, demanding chasm of his mouth.",CAH : Third Expansion,CAH Expansions
"The primal, ball-slapping sex your parents are having right now.",CAH : Third Expansion,CAH Expansions
The Quesadilla Explosion Salad™ from Chili’s.®,CAH : Third Expansion,CAH Expansions
The systematic destruction of an entire people and their way of life.,CAH : Third Expansion,CAH Expansions
The thin veneer of situational causality that underlies porn.,CAH : Third Expansion,CAH Expansions
The way white people is.,CAH : Third Expansion,CAH Expansions
Three months in the hole.,CAH : Third Expansion,CAH Expansions
"Unlimited soup, salad, and breadsticks.",CAH : Third Expansion,CAH Expansions
Velcro™.,CAH : Third Expansion,CAH Expansions
Vietnam flashbacks.,CAH : Third Expansion,CAH Expansions
Vomiting mid-blowjob.,CAH : Third Expansion,CAH Expansions
"Warm, velvety muppet sex.",CAH : Third Expansion,CAH Expansions
10 Incredible Facts About the Anus.,CAH: Blue Box Expansion,CAH Expansions
40 acres and a mule.,CAH: Blue Box Expansion,CAH Expansions
A bass drop so huge it tears the starry vault asunder to reveal the face of God.,CAH: Blue Box Expansion,CAH Expansions
A bunch of idiots playing a card game instead of interacting like normal humans.,CAH: Blue Box Expansion,CAH Expansions
A buttload of candy.,CAH: Blue Box Expansion,CAH Expansions
A chimpanzee in sunglasses fucking your wife.,CAH: Blue Box Expansion,CAH Expansions
A constant need for validation.,CAH: Blue Box Expansion,CAH Expansions
A crazy little thing called love.,CAH: Blue Box Expansion,CAH Expansions
A dance move that's just sex.,CAH: Blue Box Expansion,CAH Expansions
A disappointing salad.,CAH: Blue Box Expansion,CAH Expansions
A face full of horse cum.,CAH: Blue Box Expansion,CAH Expansions
A fart.,CAH: Blue Box Expansion,CAH Expansions
A for-real lizard that spits blood from its eyes.,CAH: Blue Box Expansion,CAH Expansions
A gender identity that can only be conveyed through slam poetry.,CAH: Blue Box Expansion,CAH Expansions
