prompt,special,set,sheet
Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.,,CAH: Blue Box Expansion,CAH Expansions
"Forget everything you know about ______, because now we've supercharged it with ______!",PICK 2,CAH: Blue Box Expansion,CAH Expansions
Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,,CAH: Blue Box Expansion,CAH Expansions
Having the worst day EVER. #______,,CAH: Blue Box Expansion,CAH Expansions
"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"Help me doctor, I've got ______ in my butt!",,CAH: Blue Box Expansion,CAH Expansions
"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",,CAH: Blue Box Expansion,CAH Expansions
"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",,CAH: Blue Box Expansion,CAH Expansions
"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",,CAH: Blue Box Expansion,CAH Expansions
"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
How am I compensating for my tiny penis?,,CAH: Blue Box Expansion,CAH Expansions
"I am become ______, destroyer of ______!",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"I don't mean to brag, but they call me the Micheal Jordan of ______.",,CAH: Blue Box Expansion,CAH Expansions
"I have a strict policy. First date, dinner. Second date, kiss. Third date, ______.",,CAH: Blue Box Expansion,CAH Expansions
"I work my ass off all day for this family, and this is what I come home to? ______!?",,CAH: Blue Box Expansion,CAH Expansions
"I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of ______.",,CAH: Blue Box Expansion,CAH Expansions
"I'm pretty sure I'm high right now, because I""m absolutely mesmerized by ______.",,CAH: Blue Box Expansion,CAH Expansions
"I'm sorry, Mrs. Chen, but there was nothing we could do. At 4:15 this morning, your son succumbed to ______.",,CAH: Blue Box Expansion,CAH Expansions
"I'm sorry, sir, but we don't allow ______ at the country club.",,CAH: Blue Box Expansion,CAH Expansions
"If you can't handle ______, you'd better stay away from ______.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?",,CAH: Blue Box Expansion,CAH Expansions
"In his farewell address, George Washington famously warned Americans about the dangers of ______.",,CAH: Blue Box Expansion,CAH Expansions
"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ______.",,CAH: Blue Box Expansion,CAH Expansions
"In return for my soul, the Devil promised me ______, but all I got was ______.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",,CAH: Blue Box Expansion,CAH Expansions
"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.",,CAH: Blue Box Expansion,CAH Expansions
Life's pretty tough in the fast lane. That's why I never leave the house without ______.,,CAH: Blue Box Expansion,CAH Expansions
"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.",,CAH: Blue Box Expansion,CAH Expansions
"Man, this is bullshit. Fuck ______.",,CAH: Blue Box Expansion,CAH Expansions
"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.",,CAH: Blue Box Expansion,CAH Expansions
"Now in bookstores: ""The Audacity of ______"" by Barack Obama.",,CAH: Blue Box Expansion,CAH Expansions
"Oprah's book of the month is ""______ For ______: A Story of Hope.""",PICK 2,CAH: Blue Box Expansion,CAH Expansions
Patient presents with ______. Likely a result of ______.,PICK 2,CAH: Blue Box Expansion,CAH Expansions
Puberty is a time of change. You might notice hair growing in new places. You might develop an intrest in ______. This is normal.,,CAH: Blue Box Expansion,CAH Expansions
She's up all night for good fun. I'm up all night for ______.,,CAH: Blue Box Expansion,CAH Expansions
"The Japanese have developed a smaller, more efficient version of ______.",,CAH: Blue Box Expansion,CAH Expansions
"The six things I could never do without: oxygen, Facebook, chocolate, Netflix, friends, and ______ LOL!",,CAH: Blue Box Expansion,CAH Expansions
"This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ______.",,CAH: Blue Box Expansion,CAH Expansions
"This is the prime of my life. I'm young, hot, and full of ______.",,CAH: Blue Box Expansion,CAH Expansions
"This year's hottest album is ""______"" by ______.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"To become a true Yanomami warrior, you must prove that you can withstand ______ without crying out.",,CAH: Blue Box Expansion,CAH Expansions
"To become a true Yanomamo warrior, you must prove that you can withstand ______ without crying out.",,CAH: Blue Box Expansion,CAH Expansions
"Tonight we will have sex. And afterwards, If you'd like, a little bit of ______.",,CAH: Blue Box Expansion,CAH Expansions
"We never did find ______, but along the way we sure learned a lot about ______.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"Well if ______ is good enough for ______, it's good enough for me.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
"Well what do you have to say for yourself, Casey? This is the third time you've been sent to the principal's office for ______.",,CAH: Blue Box Expansion,CAH Expansions
Wes Anderson's new film tells the story of a precocious child coming to terms with ______.,,CAH: Blue Box Expansion,CAH Expansions
What killed my boner?,,CAH: Blue Box Expansion,CAH Expansions
What's fun until it gets weird?,,CAH: Blue Box Expansion,CAH Expansions
What's making things awkward in the sauna?,,CAH: Blue Box Expansion,CAH Expansions
"When I was a kid, we used to play Cowboys and ______.",,CAH: Blue Box Expansion,CAH Expansions
WHOOO! God damn I love ______!,,CAH: Blue Box Expansion,CAH Expansions
Why am I broke?,,CAH: Blue Box Expansion,CAH Expansions
Why won't you make love to me anymore? Is it ______?,,CAH: Blue Box Expansion,CAH Expansions
"Y'all ready to get this thing started? I'm Nick Cannon, and this is America's Got ______.",,CAH: Blue Box Expansion,CAH Expansions
Yo' mama's so fat she ______!,,CAH: Blue Box Expansion,CAH Expansions
You are not alone. Millions of Americans struggle with ______ every day.,,CAH: Blue Box Expansion,CAH Expansions
"You guys, I saw this crazy movie last night. It opens on ______, and then there's some stuff about ______, and then it ends with ______.","DRAW 2, PICK 3",CAH: Blue Box Expansion,CAH Expansions
"You know, once you get past ______, ______ ain't so bad.",PICK 2,CAH: Blue Box Expansion,CAH Expansions
You Won't Believe These 15 Hilarious ______ Bloopers!,,CAH: Blue Box Expansion,CAH Expansions
"You've seen the bearded lady! You've seen the ring of fire! Now, ladies and gentlemen, feast your eyes upon ______!",,CAH: Blue Box Expansion,CAH Expansions
And today's soup is Cream of ______.,,CAH: Fifth Expansion,CAH Expansions
"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless.",,CAH: Fifth Expansion,CAH Expansions
Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!,,CAH: Fifth Expansion,CAH Expansions
Do you lack energy? Does it sometimes feel like the whole world is ______? Zoloft.,,CAH: Fifth Expansion,CAH Expansions
"Don't forget! Beginning this week, Casual Friday will officially become ""______ Friday.""",,CAH: Fifth Expansion,CAH Expansions
Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,,CAH: Fifth Expansion,CAH Expansions
Having the worst day EVER. #______,,CAH: Fifth Expansion,CAH Expansions
"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",PICK 2,CAH: Fifth Expansion,CAH Expansions
"Help me doctor, I've got ______ in my butt!",,CAH: Fifth Expansion,CAH Expansions
"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace.",,CAH: Fifth Expansion,CAH Expansions
"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time.",,CAH: Fifth Expansion,CAH Expansions
"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______."" Can you explain?",,CAH: Fifth Expansion,CAH Expansions
"I don't mean to brag, but they call me the Micheal Jordan of ______.",,CAH: Fifth Expansion,CAH Expansions
"In his farewell address, George Washington famously warned Americans about the dangers of ______.",,CAH: Fifth Expansion,CAH Expansions
"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ______.",,CAH: Fifth Expansion,CAH Expansions
Life's pretty tough in the fast lane. That's why I never leave the house without ______.,,CAH: Fifth Expansion,CAH Expansions
"Now in bookstores: ""The Audacity of ______"" by Barack Obama.",,CAH: Fifth Expansion,CAH Expansions
Patient presents with ______ . Likely a result of ______.,PICK 2,CAH: Fifth Expansion,CAH Expansions
"Well if ______ is good enough for ______, it's good enough for me.",PICK 2,CAH: Fifth Expansion,CAH Expansions
"Well what do you have to say for yourself, Casey? This is the third time you've been sent to the principal's office for ______.",,CAH: Fifth Expansion,CAH Expansions
What killed my boner?,,CAH: Fifth Expansion,CAH Expansions
What's making things awkward in the sauna?,,CAH: Fifth Expansion,CAH Expansions
WHOOO! God damn I love ______!,,CAH: Fifth Expansion,CAH Expansions
Why am I broke?,,CAH: Fifth Expansion,CAH Expansions
Yo' mama's so fat she ______!,,CAH: Fifth Expansion,CAH Expansions
An international tribunal has found ______ guilty of ______.,PICK 2,CAH: First Expansion,CAH Expansions
"And I would have gotten away with it, too, if it hadn't been for ______!",,CAH: First Expansion,CAH Expansions
"Awww, sick! I just saw this skater do a 720 kickflip into ______!",,CAH: First Expansion,CAH Expansions
"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",PICK 2,CAH: First Expansion,CAH Expansions
"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",,CAH: First Expansion,CAH Expansions
Future historians will agree that ______ marked the beginning of America's decline.,,CAH: First Expansion,CAH Expansions
He who controls ______ controls the world.,,CAH: First Expansion,CAH Expansions
I learned the hard way that you can't cheer up a grieving friend with ______.,,CAH: First Expansion,CAH Expansions
"In a pinch, ______ can be a suitable substitute for ______.",PICK 2,CAH: First Expansion,CAH Expansions
"In his new self-produced album, Kanye West raps over the sounds of ______.",,CAH: First Expansion,CAH Expansions
"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",,CAH: First Expansion,CAH Expansions
"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",,CAH: First Expansion,CAH Expansions
"In the distant future, historians will agree that ______ marked the beginning of America's decline.",,CAH: First Expansion,CAH Expansions
Michael Bay's new three-hour action epic pits ______ against ______.,PICK 2,CAH: First Expansion,CAH Expansions
My plan for world domination begins with ______.,,CAH: First Expansion,CAH Expansions
"Next season on Man vs, Wild, Bear Grylls must survive the depths of the Amazon with only ______ and his wits.",,CAH: First Expansion,CAH Expansions
"Next week on Discovery Channel, one man must survive in the depths of the Amazon with only _____ and his wits.",,CAH: First Expansion,CAH Expansions
Science will never explain ______.,,CAH: First Expansion,CAH Expansions
Science will never explain the origin of ______.,,CAH: First Expansion,CAH Expansions
The CIA now interrogates enemy agents by repeatedly subjecting them to ______.,,CAH: First Expansion,CAH Expansions
"The secret to a lasting marriage is communication, communication, and ______.",,CAH: First Expansion,CAH Expansions
The socialist governments of Scandinavia have declared that access to ______ is a basic human right.,,CAH: First Expansion,CAH Expansions
"This season on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only ______ and his wits.",,CAH: First Expansion,CAH Expansions
What brought the orgy to a grinding halt?,,CAH: First Expansion,CAH Expansions
What has been making life difficult at the nudist colony?,,CAH: First Expansion,CAH Expansions
What's the gift that keeps on giving?,,CAH: First Expansion,CAH Expansions
"When all else fails, I can always masturbate to ______.",,CAH: First Expansion,CAH Expansions
"When I pooped, what came out of my butt?",,CAH: First Expansion,CAH Expansions
"______ may pass, but ______ will last forever.",PICK 2,CAH: Fourth Expansion,CAH Expansions
______ will never be the same after ______.,PICK 2,CAH: Fourth Expansion,CAH Expansions
"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______.",,CAH: Fourth Expansion,CAH Expansions
"Adventure. Romance. ______. From Paramount Pictures, ""______.""",PICK 2,CAH: Fourth Expansion,CAH Expansions
"Alright, bros. Our frat house is condemned, and all the hot slampieces are over at Gamma Phi. The time has come to commence Operation ______.",,CAH: Fourth Expansion,CAH Expansions
"As king, how will I keep the peasants in line?",,CAH: Fourth Expansion,CAH Expansions
"Dammit, Gary.  You can't just solve every problem with ______.",,CAH: Fourth Expansion,CAH Expansions
"Dear Leader Kim Jong-un, our village praises your infinite wisdom with a humble offering of ______.",,CAH: Fourth Expansion,CAH Expansions
Do not fuck with me! I am literally ______ right now.,,CAH: Fourth Expansion,CAH Expansions
Every step towards ______ gets me a little bit closer to ______.,PICK 2,CAH: Fourth Expansion,CAH Expansions
"Forget everything you know about ______, because now we've supercharged it with ______!",PICK 2,CAH: Fourth Expansion,CAH Expansions
"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______.",PICK 2,CAH: Fourth Expansion,CAH Expansions
How am I compensating for my tiny penis?,,CAH: Fourth Expansion,CAH Expansions
"I am become ______, destroyer of ______!",PICK 2,CAH: Fourth Expansion,CAH Expansions
"I'm pretty sure I'm high right now, because I'm absolutely mesmerized by ______.",,CAH: Fourth Expansion,CAH Expansions
"I'm sorry, sir, but we don't allow ______ at the country club.",,CAH: Fourth Expansion,CAH Expansions
"If you can't handle ______, you'd better stay away from ______.",PICK 2,CAH: Fourth Expansion,CAH Expansions
"In return for my soul, the Devil promised me ______, but all I got was ______.",PICK 2,CAH: Fourth Expansion,CAH Expansions
"In the beginning, there was ______. And the Lord said, ""Let there be ______.""",PICK 2,CAH: Fourth Expansion,CAH Expansions
"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______.",,CAH: Fourth Expansion,CAH Expansions
"Man, this is bullshit. Fuck ______.",,CAH: Fourth Expansion,CAH Expansions
"Oprah's book of the month is ""______ For ______: A Story of Hope.""",PICK 2,CAH: Fourth Expansion,CAH Expansions
She's up all night for good fun. I'm up all night for ______.,,CAH: Fourth Expansion,CAH Expansions
"The Japanese have developed a smaller, more efficient version of ______.",,CAH: Fourth Expansion,CAH Expansions
"This is the prime of my life. I'm young, hot, and full of ______.",,CAH: Fourth Expansion,CAH Expansions
"This year's hottest album is ""______"" by ______.",PICK 2,CAH: Fourth Expansion,CAH Expansions
"We never did find ______, but along the way we sure learned a lot about ______.",PICK 2,CAH: Fourth Expansion,CAH Expansions
Wes Anderson's new film tells the story of a precocious child coming to terms with ______.,,CAH: Fourth Expansion,CAH Expansions
What's fun until it gets weird?,,CAH: Fourth Expansion,CAH Expansions
"You guys, I saw this crazy movie last night. It opens on ______, and then there's some stuff about ______, and then it ends with ______.","DRAW 2, PICK 3",CAH: Fourth Expansion,CAH Expansions
"You've seen the bearded lady! You've seen the ring of fire! Now, ladies and gentlemen, feast your eyes upon ______!",,CAH: Fourth Expansion,CAH Expansions
______ be all like ______.,PICK 2,CAH: Green Box Expansion,CAH Expansions
______: Brought to you by ______.,PICK 2,CAH: Green Box Expansion,CAH Expansions
Art isn’t just a painting in a stuffy museum. Art is alive. Art is ______.,,CAH: Green Box Expansion,CAH Expansions
"As reparations for slavery, all African Americans will receive ______.",,CAH: Green Box Expansion,CAH Expansions
"As Teddy Roosevelt said, the four manly virtues are honor, temperance, industry, and ______.",,CAH: Green Box Expansion,CAH Expansions
"Best you go back where you came from, now. We don’t take too kindly to ______ in these parts.",,CAH: Green Box Expansion,CAH Expansions
CNN breaking news! Scientists discover ______.,,CAH: Green Box Expansion,CAH Expansions
"Coming to Red Lobster® this month, ______.",,CAH: Green Box Expansion,CAH Expansions
"Congratulations! You have been selected for our summer internship program. While we are unable to offer a salary, we can offer you ______.",,CAH: Green Box Expansion,CAH Expansions
"Dance like there’s nobody watching, love like you’ll never be hurt, and live like you’re ______.",,CAH: Green Box Expansion,CAH Expansions
Errbody in the club ______.,,CAH: Green Box Expansion,CAH Expansions
Feeling so grateful! #amazing #mylife #______.,,CAH: Green Box Expansion,CAH Expansions
Girls just wanna have ______.,,CAH: Green Box Expansion,CAH Expansions
Google Calendar alert: ______ in 10 minutes.,,CAH: Green Box Expansion,CAH Expansions
I don’t believe in God. I believe in ______.,,CAH: Green Box Expansion,CAH Expansions
"I got rhythm, I’ve got music, I’ve got ______. Who could ask for anything more?",,CAH: Green Box Expansion,CAH Expansions
"I may not be much to look at, but I fuck like ______.",,CAH: Green Box Expansion,CAH Expansions
"I tell you, it was a non-stop fuckfest. When it was over, my asshole looked like ______.",,CAH: Green Box Expansion,CAH Expansions
I’ll take the BBQ bacon burger with friend egg and fuck it how about ______.,,CAH: Green Box Expansion,CAH Expansions
"I’m sorry, sir, but your insurance plan doesn’t cover injuries caused by ______.",,CAH: Green Box Expansion,CAH Expansions
"I’ve had a horrible vision, father. I saw mountains crumbling, stars falling from the sky. I saw ______.",,CAH: Green Box Expansion,CAH Expansions
"If at first you don’t succeed, try ______.",,CAH: Green Box Expansion,CAH Expansions
"In the 1950s, psychologists prescribed ______ as a cure for homosexually.",,CAH: Green Box Expansion,CAH Expansions
LSD + ______ = really bad time.,,CAH: Green Box Expansion,CAH Expansions
"Mom’s to-do list:
 * Buy Groceries
 * Clean up ______.
 * Soccer Practice.",,CAH: Green Box Expansion,CAH Expansions
Most Americans would not vote for a candidate who is openly ______.,,CAH: Green Box Expansion,CAH Expansions
"No, no, no, no, no, no, NO! I will NOT let ______ ruin this wedding.",,CAH: Green Box Expansion,CAH Expansions
"Oh no! Siri, how do I fix ______?",,CAH: Green Box Expansion,CAH Expansions
One more thing. Watch out for Big Mike. They say he killed a man with ______.,,CAH: Green Box Expansion,CAH Expansions
"Ooo, daddy like ______.",,CAH: Green Box Expansion,CAH Expansions
"Poor Brandon, still living in his parent’s basement. I heard he never got over ______.",,CAH: Green Box Expansion,CAH Expansions
"Run, run, as fast as you can! You can’t catch me, I’m ______!",,CAH: Green Box Expansion,CAH Expansions
"She’s a lady in the streets, ______ in the sheets.",,CAH: Green Box Expansion,CAH Expansions
"She’s just one of the guys, you know? She likes beer, and football, and ______.",,CAH: Green Box Expansion,CAH Expansions
"Son, take it from someone who’s been around the block a few times. Nothin’ puts her in the mood like ______.",,CAH: Green Box Expansion,CAH Expansions
"Summer lovin’, had me a blast. ______, happened so fast.",,CAH: Green Box Expansion,CAH Expansions
"The top Google auto-complete results for “Barack Obama”:
Barack Obama Height.
Barack Obama net worth.
Barack Obama ______.",,CAH: Green Box Expansion,CAH Expansions
"Then the princess kissed the frog, and all of a sudden the frog was ______!",,CAH: Green Box Expansion,CAH Expansions
There is no God. It’s just ______ and then you die.,,CAH: Green Box Expansion,CAH Expansions
"This Friday at the Liquid Lunge, it’s ______ Night! Ladies drink free.",,CAH: Green Box Expansion,CAH Expansions
We do not shake with our left hands in this country. That is the hand we use for ______.,,CAH: Green Box Expansion,CAH Expansions
"Well if ______ is a crime, then lock me up!",,CAH: Green Box Expansion,CAH Expansions
"Well, shit. My eyes ain’t so good, but I’ll eat my own boot if that ain’t ______!",,CAH: Green Box Expansion,CAH Expansions
